Sim instant [s],Timestamp,X Position of 1st satellite,X Position of 2nd satellite,X Position of 3rd satellite,X Position of 4th satellite,Y Position of 1st satellite,Y Position of 2nd satellite,Y Position of 3rd satellite,Y Position of 4th satellite,Z Position of 1st satellite,Z Position of 2nd satellite,Z Position of 3rd satellite,Z Position of 4th satellite,Distance between the 1st satellite and the receiver,Distance between the 2nd satellite and the receiver,Distance between the 3rd satellite and the receiver,Distance between the 4th satellite and the receiver,Pseudorange 1st satellite,Pseudorange 2nd satellite,Pseudorange 3rd satellite,Pseudorange 4th satellite,X position of receiver,Y position of receiver,Z position of receiver,View 1st satellite,View 2nd satellite,View 3rd satellite,View 4th satellite,Eccentricity1,Eccentricity2,Eccentricity3,Eccentricity4,Satellite Antenna Cone Angle,Masking Angle,Axis
1,2022-01-06 08:00:00,4377130.4903279655,2348599.052539805,1641172.4191594298,2543550.222426078,2041089.4683836745,888211.3252619251,729149.827196781,-1945292.2527970995,-1294095.2255126038,392677.5792016558,1189893.4647218618,1144360.2060719957,3697664.9582999167,1356868.903706449,771861.7488454725,4337529.760971225,3697664.9582999167,1356868.903706449,771861.7488454725,4337529.760971225,1063997.107021443,614299.0161558132,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
2,2022-01-06 08:05:00,4243916.027901751,2168876.2716183555,1330449.144760735,2347526.5092532844,2306599.335260555,1307328.344150951,862546.1793799611,-2174750.8901129444,-1291811.2302864457,642777.6470889095,1699073.2678044203,1459891.7844113624,3939393.985526341,1602426.7096080184,931372.2659750964,4197345.772323578,3939393.985526341,1602426.7096080184,931372.2659750964,4197345.772323578,1228537.374212525,12208.40542386481,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
3,2022-01-06 08:10:00,4095721.085280808,1926744.7957039056,945486.6286262464,2122028.956701302,2563967.201817008,1699921.4664547024,962524.7284373626,-2380890.3192731068,-1284967.3068186813,880762.7764921071,2153252.4123620684,1761335.1799832806,4063308.855105544,1885396.1508870416,1025740.9883278048,4422484.498041802,4063308.855105544,1885396.1508870416,1025740.9883278048,4422484.498041802,1228527.2341434057,13189.388460168126,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
4,2022-01-06 08:15:00,3933068.77163796,1630906.6897874123,510285.5426235608,1871722.558854752,2812284.5924370307,2058385.553325716,1030009.2337046866,-2563218.350495864,-1273587.6132828672,1101820.964264806,2543479.760993577,2046468.6963723707,4201441.463931162,2242605.870670441,1259849.8157684996,4629742.794088641,4201441.463931162,2242605.870670441,1259849.8157684996,4629742.794088641,1228516.3107626962,14170.36308688917,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
5,2022-01-06 08:20:00,3756533.228814641,1291681.3427188357,46254.5947291356,1601114.640850698,3050674.9785258686,2377622.913577401,1068322.838722929,-2721790.5804149355,-1257712.318540149,1302500.991247389,2868532.8906519976,2313710.966094411,4350321.477109345,2627835.8905243045,1591406.1241094046,4820296.613779721,4350321.477109345,2627835.8905243045,1591406.1241094046,4820296.613779721,1228504.6040773613,15151.328678556429,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
6,2022-01-06 08:25:00,3566737.6046737083,919737.9922931168,-429943.4260861388,1314423.6549950168,3278296.872543727,2655077.19816688,1081737.6901608617,-2857093.032107643,-1237397.4603483216,1480795.695356409,3132021.382830766,2562043.813031187,4506703.352632816,3015659.492571725,1976737.534770852,4995565.9763656845,4506703.352632816,3015659.492571725,1976737.534770852,4995565.9763656845,1228492.1140948653,16132.284609704133,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
7,2022-01-06 08:30:00,3364351.853467272,525109.0766177552,-906342.1403135916,1015501.089285702,3494346.798349041,2890358.7867904385,1074531.1126463425,-2969931.321723516,-1212714.7475557234,1635976.1590161584,3339809.4600947164,2790922.7289932715,4667625.122481704,3392892.255653832,2387326.918383434,5157077.022388601,4667625.122481704,3392892.255653832,2387326.918383434,5157077.022388601,1228478.8408231717,17113.2302548727,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
8,2022-01-06 08:35:00,3150090.370983963,116608.221463294,-1374755.913892814,707795.3960937586,3698062.1273663817,3084685.1495802123,1050547.8002352105,-3061333.829704177,-1183751.3069781794,1768299.117876909,3498394.533094147,3000186.95957096,4830430.831344378,3753034.061919356,2806139.767977274,5306363.0451582,4830430.831344378,3753034.061919356,2806139.767977274,5306363.0451582,1228464.7842707438,18094.16498860908,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
9,2022-01-06 08:40:00,2924709.4728232743,-298393.8037020205,-1829777.5125313764,394346.2932536728,3888723.7705676807,3240321.895904472,1013069.4726506834,-3132471.757966894,-1150609.375852499,1878696.7519566696,3614076.3110625935,3189976.504999366,4992769.397439017,4093252.463609979,3222922.986202361,5444897.257075299,4992769.397439017,4093252.463609979,3222922.986202361,5444897.257075299,1228449.944446544,19075.088185467182,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
10,2022-01-06 08:45:00,2689004.7246983293,-713952.6029392077,-2267960.187917454,77799.22047552164,4065658.7167644296,3360123.045428174,964828.4594032996,-3184595.971152427,-1113405.94095212,1968511.4416319693,3692603.334747504,3360659.6463145507,5152579.992448289,4412744.465567421,3631383.2011533566,5574050.295683608,5152579.992448289,4412744.465567421,3631383.2011533566,5574050.295683608,1228434.3213600337,20055.999220008307,1228598.0323116265,0,0,0,0,0,0.5,0.6,0.4,45,10,500000
